freq,unit,na_item,geo,time,value
A,CP_PPS_EU27_2020_HAB,B1GQ,NL,2024,53149.4
A,CP_PPS_EU27_2020_HAB,B1GQ,PL,2015,19407.7
A,CP_PPS_EU27_2020_HAB,B1GQ,PL,2016,19706.9
A,CP_PPS_EU27_2020_HAB,B1GQ,PL,2017,20730.1
A,CP_PPS_EU27_2020_HAB,B1GQ,PL,2018,21945.0
A,CP_PPS_EU27_2020_HAB,B1GQ,PL,2019,23348.0
A,CP_PPS_EU27_2020_HAB,B1GQ,PL,2020,23916.5
A,CP_PPS_EU27_2020_HAB,B1GQ,PL,2021,26197.3
A,CP_PPS_EU27_2020_HAB,B1GQ,PL,2022,28144.8
A,CP_PPS_EU27_2020_HAB,B1GQ,PL,2023,29519.6
A,CP_PPS_EU27_2020_HAB,B1GQ,PL,2024,31463.0
A,CP_PPS_EU27_2020_HAB,B1GQ,PT,2015,21240.3
A,CP_PPS_EU27_2020_HAB,B1GQ,PT,2016,21877.6
A,CP_PPS_EU27_2020_HAB,B1GQ,PT,2017,22559.7
A,CP_PPS_EU27_2020_HAB,B1GQ,PT,2018,23548.4
A,CP_PPS_EU27_2020_HAB,B1GQ,PT,2019,24464.9
A,CP_PPS_EU27_2020_HAB,B1GQ,PT,2020,22782.1
A,CP_PPS_EU27_2020_HAB,B1GQ,PT,2021,24550.2
A,CP_PPS_EU27_2020_HAB,B1GQ,PT,2022,27841.5
A,CP_PPS_EU27_2020_HAB,B1GQ,PT,2023,31107.5
A,CP_PPS_EU27_2020_HAB,B1GQ,PT,2024,32937.1
A,CP_PPS_EU27_2020_HAB,B1GQ,RO,2015,15543.5
A,CP_PPS_EU27_2020_HAB,B1GQ,RO,2016,16602.2
A,CP_PPS_EU27_2020_HAB,B1GQ,RO,2017,18502.8
A,CP_PPS_EU27_2020_HAB,B1GQ,RO,2018,19915.4
A,CP_PPS_EU27_2020_HAB,B1GQ,RO,2019,21713.9
A,CP_PPS_EU27_2020_HAB,B1GQ,RO,2020,21808.9
A,CP_PPS_EU27_2020_HAB,B1GQ,RO,2021,23919.2
A,CP_PPS_EU27_2020_HAB,B1GQ,RO,2022,25908.1
A,CP_PPS_EU27_2020_HAB,B1GQ,RO,2023,28715.8
A,CP_PPS_EU27_2020_HAB,B1GQ,RO,2024,30769.5
A,CP_PPS_EU27_2020_HAB,B1GQ,SE,2015,35062.0
A,CP_PPS_EU27_2020_HAB,B1GQ,SE,2016,34881.8
A,CP_PPS_EU27_2020_HAB,B1GQ,SE,2017,35296.2
A,CP_PPS_EU27_2020_HAB,B1GQ,SE,2018,35915.6
A,CP_PPS_EU27_2020_HAB,B1GQ,SE,2019,36994.5
A,CP_PPS_EU27_2020_HAB,B1GQ,SE,2020,36665.9
A,CP_PPS_EU27_2020_HAB,B1GQ,SE,2021,39670.2
A,CP_PPS_EU27_2020_HAB,B1GQ,SE,2022,40905.8
A,CP_PPS_EU27_2020_HAB,B1GQ,SE,2023,42508.5
A,CP_PPS_EU27_2020_HAB,B1GQ,SE,2024,44772.2
A,CP_PPS_EU27_2020_HAB,B1GQ,SI,2015,22534.2
A,CP_PPS_EU27_2020_HAB,B1GQ,SI,2016,23327.5
A,CP_PPS_EU27_2020_HAB,B1GQ,SI,2017,24858.0
A,CP_PPS_EU27_2020_HAB,B1GQ,SI,2018,26214.2
A,CP_PPS_EU27_2020_HAB,B1GQ,SI,2019,27550.6
A,CP_PPS_EU27_2020_HAB,B1GQ,SI,2020,26676.9
A,CP_PPS_EU27_2020_HAB,B1GQ,SI,2021,29298.0
A,CP_PPS_EU27_2020_HAB,B1GQ,SI,2022,32351.9
A,CP_PPS_EU27_2020_HAB,B1GQ,SI,2023,35110.5
A,CP_PPS_EU27_2020_HAB,B1GQ,SI,2024,36150.6
A,CP_PPS_EU27_2020_HAB,B1GQ,SK,2015,21683.1
A,CP_PPS_EU27_2020_HAB,B1GQ,SK,2016,20747.7
A,CP_PPS_EU27_2020_HAB,B1GQ,SK,2017,20778.3
A,CP_PPS_EU27_2020_HAB,B1GQ,SK,2018,21370.9
A,CP_PPS_EU27_2020_HAB,B1GQ,SK,2019,22107.4
A,CP_PPS_EU27_2020_HAB,B1GQ,SK,2020,22561.3
A,CP_PPS_EU27_2020_HAB,B1GQ,SK,2021,24479.7
A,CP_PPS_EU27_2020_HAB,B1GQ,SK,2022,25517.5
A,CP_PPS_EU27_2020_HAB,B1GQ,SK,2023,28487.6
A,CP_PPS_EU27_2020_HAB,B1GQ,SK,2024,29808.2
A,CP_PPS_EU27_2020_HAB,P41,AT,2015,23093.3
