freq,unit,mot_nrg,geo,time,value
A,NR,DIE,FR,2020,539142
A,NR,DIE,FR,2021,399164
A,NR,DIE,FR,2022,273570
A,NR,DIE,FR,2023,223258
A,NR,DIE,FR,2024,173114
A,NR,DIE,HR,2020,12885
A,NR,DIE,HR,2021,8904
A,NR,DIE,HR,2022,7788
A,NR,DIE,HR,2023,9219
A,NR,DIE,HR,2024,10691
A,NR,DIE,HU,2015,32271
A,NR,DIE,HU,2016,34700
A,NR,DIE,HU,2017,37039
A,NR,DIE,HU,2018,32655
A,NR,DIE,HU,2019,32299
A,NR,DIE,HU,2020,31606
A,NR,DIE,HU,2021,27065
A,NR,DIE,HU,2022,20567
A,NR,DIE,HU,2023,19836
A,NR,DIE,HU,2024,20521
A,NR,DIE,IE,2015,92436
A,NR,DIE,IE,2016,105257
A,NR,DIE,IE,2017,87644
A,NR,DIE,IE,2018,70743
A,NR,DIE,IE,2019,59884
A,NR,DIE,IE,2020,41688
A,NR,DIE,IE,2021,40292
A,NR,DIE,IE,2022,31336
A,NR,DIE,IE,2023,32255
A,NR,DIE,IE,2024,32220
A,NR,DIE,IT,2015,887074
A,NR,DIE,IT,2016,1058886
A,NR,DIE,IT,2017,1130434
A,NR,DIE,IT,2018,1000494
A,NR,DIE,IT,2019,793367
A,NR,DIE,IT,2020,505406
A,NR,DIE,IT,2021,403271
A,NR,DIE,IT,2022,323829
A,NR,DIE,IT,2023,357239
A,NR,DIE,IT,2024,310312
A,NR,DIE,LT,2015,7690
A,NR,DIE,LT,2016,7587
A,NR,DIE,LT,2017,7865
A,NR,DIE,LT,2018,7210
A,NR,DIE,LT,2019,7262
A,NR,DIE,LT,2020,7042
A,NR,DIE,LT,2021,4706
A,NR,DIE,LT,2022,3183
A,NR,DIE,LT,2023,3684
A,NR,DIE,LT,2024,5473
A,NR,DIE,LU,2015,32934
A,NR,DIE,LU,2016,32780
A,NR,DIE,LU,2017,28488
A,NR,DIE,LU,2018,24915
A,NR,DIE,LU,2019,23897
A,NR,DIE,LU,2020,18151
A,NR,DIE,LU,2021,14569
A,NR,DIE,LU,2022,12338
A,NR,DIE,LU,2023,10265
A,NR,DIE,LU,2024,8085
A,NR,DIE,LV,2015,6923
A,NR,DIE,LV,2016,7287
A,NR,DIE,LV,2017,7446
A,NR,DIE,LV,2018,6807
A,NR,DIE,LV,2019,6893
A,NR,DIE,LV,2020,4870
A,NR,DIE,LV,2021,3923
A,NR,DIE,LV,2022,3445
A,NR,DIE,LV,2023,3729
A,NR,DIE,LV,2024,3720
A,NR,DIE,MT,2015,2712
A,NR,DIE,MT,2016,2603
A,NR,DIE,MT,2017,2616
A,NR,DIE,MT,2018,2412
A,NR,DIE,MT,2019,2088
A,NR,DIE,MT,2020,1062
A,NR,DIE,MT,2021,595
A,NR,DIE,MT,2022,497
A,NR,DIE,MT,2023,724
A,NR,DIE,MT,2024,387
A,NR,DIE,NL,2015,129768
A,NR,DIE,NL,2016,72355
A,NR,DIE,NL,2017,72265
A,NR,DIE,NL,2018,56996
A,NR,DIE,NL,2019,32685
A,NR,DIE,NL,2020,12963
A,NR,DIE,NL,2021,6920
A,NR,DIE,NL,2022,4638
A,NR,DIE,NL,2023,3966
A,NR,DIE,NL,2024,3765
A,NR,DIE,PL,2015,120373
A,NR,DIE,PL,2016,134037
A,NR,DIE,PL,2017,139474
A,NR,DIE,PL,2018,136952
A,NR,DIE,PL,2019,121385
A,NR,DIE,PL,2020,94592
A,NR,DIE,PL,2021,86455
A,NR,DIE,PL,2022,73990
A,NR,DIE,PL,2023,83234
A,NR,DIE,PL,2024,97953
A,NR,DIE,PT,2017,139241
A,NR,DIE,PT,2018,124059
A,NR,DIE,PT,2019,91437
A,NR,DIE,PT,2020,51887
A,NR,DIE,PT,2021,38051
A,NR,DIE,PT,2022,33362
A,NR,DIE,PT,2023,29010
A,NR,DIE,PT,2024,24072
A,NR,DIE,RO,2015,44904
A,NR,DIE,RO,2016,48696
A,NR,DIE,RO,2017,54178
A,NR,DIE,RO,2018,53371
A,NR,DIE,RO,2019,44078
A,NR,DIE,RO,2020,34963
A,NR,DIE,RO,2021,24057
A,NR,DIE,RO,2022,19178
A,NR,DIE,RO,2023,20455
A,NR,DIE,RO,2024,22796
A,NR,DIE,SE,2015,207091
A,NR,DIE,SE,2016,202383
A,NR,DIE,SE,2017,192191
A,NR,DIE,SE,2018,138666
A,NR,DIE,SE,2019,123708
A,NR,DIE,SE,2020,67981
A,NR,DIE,SE,2021,53988
A,NR,DIE,SE,2022,36432
A,NR,DIE,SE,2023,25820
A,NR,DIE,SE,2024,23290
A,NR,DIE,SI,2015,31031
A,NR,DIE,SI,2016,32589
A,NR,DIE,SI,2017,32410
A,NR,DIE,SI,2018,23877
A,NR,DIE,SI,2019,21499
A,NR,DIE,SI,2020,16918
A,NR,DIE,SI,2021,11743
A,NR,DIE,SI,2022,7739
A,NR,DIE,SI,2023,7355
A,NR,DIE,SI,2024,8113
A,NR,DIE,SK,2020,19082
A,NR,DIE,SK,2021,14909
A,NR,DIE,SK,2022,15780
A,NR,DIE,SK,2023,19074
A,NR,DIE,SK,2024,19396
A,NR,DIE_X_HYB,AT,2015,179822
A,NR,DIE_X_HYB,AT,2016,188820
A,NR,DIE_X_HYB,AT,2017,175458
A,NR,DIE_X_HYB,AT,2018,140111
A,NR,DIE_X_HYB,AT,2019,126311
A,NR,DIE_X_HYB,AT,2020,90909
A,NR,DIE_X_HYB,AT,2021,58263
A,NR,DIE_X_HYB,AT,2022,48115
A,NR,DIE_X_HYB,AT,2023,46568
A,NR,DIE_X_HYB,AT,2024,44132
A,NR,DIE_X_HYB,BE,2015,303345
A,NR,DIE_X_HYB,BE,2016,284352
A,NR,DIE_X_HYB,BE,2017,258956
A,NR,DIE_X_HYB,BE,2018,201023
A,NR,DIE_X_HYB,BE,2019,173704
A,NR,DIE_X_HYB,BE,2020,137015
A,NR,DIE_X_HYB,BE,2021,82566
A,NR,DIE_X_HYB,BE,2022,54759
A,NR,DIE_X_HYB,BE,2023,39275
A,NR,DIE_X_HYB,BE,2024,23547
A,NR,DIE_X_HYB,BG,2020,2635
A,NR,DIE_X_HYB,BG,2021,3032
A,NR,DIE_X_HYB,BG,2022,5330
A,NR,DIE_X_HYB,BG,2023,6032
A,NR,DIE_X_HYB,BG,2024,6986
A,NR,DIE_X_HYB,CY,2015,4157
A,NR,DIE_X_HYB,CY,2016,5327
A,NR,DIE_X_HYB,CY,2017,5450
A,NR,DIE_X_HYB,CY,2018,5264
A,NR,DIE_X_HYB,CY,2019,4532
A,NR,DIE_X_HYB,CY,2020,3065
A,NR,DIE_X_HYB,CY,2021,1460
A,NR,DIE_X_HYB,CY,2022,541
A,NR,DIE_X_HYB,CY,2023,443
A,NR,DIE_X_HYB,CY,2024,373
A,NR,DIE_X_HYB,CZ,2020,59767
A,NR,DIE_X_HYB,CZ,2021,56111
A,NR,DIE_X_HYB,CZ,2022,44991
A,NR,DIE_X_HYB,CZ,2023,50098
A,NR,DIE_X_HYB,CZ,2024,54423
A,NR,DIE_X_HYB,DE,2017,1336776
A,NR,DIE_X_HYB,DE,2018,1111130
A,NR,DIE_X_HYB,DE,2019,1152733
A,NR,DIE_X_HYB,DE,2020,819896
A,NR,DIE_X_HYB,DE,2021,524446
A,NR,DIE_X_HYB,DE,2022,472274
A,NR,DIE_X_HYB,DE,2023,486581
A,NR,DIE_X_HYB,DE,2024,483261
A,NR,DIE_X_HYB,DK,2015,64203
A,NR,DIE_X_HYB,DK,2016,80211
A,NR,DIE_X_HYB,DK,2017,77492
A,NR,DIE_X_HYB,DK,2018,72474
A,NR,DIE_X_HYB,DK,2019,60362
A,NR,DIE_X_HYB,DK,2020,44709
A,NR,DIE_X_HYB,DK,2021,23904
A,NR,DIE_X_HYB,DK,2022,10104
