country_code,country,region,year,new_cars_total,new_cars_bev,new_cars_phev,ev_share,ev_phev_share,ev_level,gdp_per_capita_pps,median_disposable_income,aic_per_capita_pps,population,fuel_price,electricity_price,environmental_expenditure,bev_per_100k,gdp_change_pct,ev_share_change_pp
DK,Denmark,Северная Европа,2018,218475.0,1544.0,3126.0,0.7067170156768509,2.137544341457833,до 1%,38810.6,21646.0,25301.7,5781190.0,1.5923,0.31245,0.4,26.70730420553554,2.229738094673661,0.3947151012222672
DK,Denmark,Северная Европа,2019,225620.0,5501.0,3880.0,2.4381703749667585,4.157876074816063,1-5%,39393.0,22371.0,25569.9,5806081.0,1.6078091836734694,0.2954,0.4,94.74549183864296,1.5006209643757096,1.7314533592899077
DK,Denmark,Северная Европа,2020,198979.0,14218.0,18235.0,7.1454776634720245,16.309761331597805,5-15%,40054.4,21796.0,25739.5,5822763.0,1.4491034,0.28259999999999996,0.4,244.17961026406192,1.6789784987180534,4.707307288505266
DK,Denmark,Северная Европа,2021,186592.0,24876.0,40445.0,13.331761275938947,35.007395815469046,5-15%,44240.3,22899.0,27852.1,5840045.0,1.6712206122448978,0.3174,0.4,425.95562191729687,10.450537269313731,6.186283612466922
DK,Denmark,Северная Европа,2022,149285.0,30799.0,26443.0,20.63100780386509,38.34410690960244,выше 15%,48465.5,23244.0,28675.2,5873420.0,2.088567843137255,0.5215,0.4,524.379322439056,9.550568147141858,7.299246527926142
DK,Denmark,Северная Европа,2023,173374.0,62576.0,17218.0,36.09307047192774,46.02420201414284,выше 15%,48240.3,22820.0,29375.7,5932654.0,1.9747351923076921,0.36824999999999997,0.4,1054.7724509132001,-0.46466042855226597,15.46206266806265
DK,Denmark,Северная Европа,2024,173461.0,89058.0,7068.0,51.34180017410254,55.41649131505064,выше 15%,51785.4,24297.0,30354.4,5961249.0,1.9974811726665531,0.37355000000000005,0.4,1493.9486674688476,7.348834895305378,15.2487297021748
EE,Estonia,Северная Европа,2015,21064.0,30.0,,0.1424230915305735,,до 1%,21398.6,10432.0,13380.0,1313271.0,1.1081632653061224,0.12965,0.7,2.2843723801104265,,
EE,Estonia,Северная Европа,2016,23020.0,32.0,,0.13900955690703737,,до 1%,22190.6,11867.0,13928.1,1315944.0,1.05862,0.12229999999999999,0.6,2.431714419458579,3.7011767124952133,-0.0034135346235361352
EE,Estonia,Северная Европа,2017,25621.0,26.0,,0.10147925529838804,,до 1%,23734.0,12414.0,14548.7,1315635.0,1.18536,0.1263,0.7,1.9762320096379316,6.955197245680611,-0.03753030160864933
EE,Estonia,Северная Европа,2018,26299.0,83.0,,0.3156013536636374,,до 1%,25227.3,13378.0,15516.2,1319133.0,1.3323399999999999,0.1383,0.7,6.292011495429195,6.29181764557174,0.21412209836524937
EE,Estonia,Северная Европа,2019,27579.0,77.0,,0.2791979404619457,,до 1%,26438.1,14240.0,16237.7,1324820.0,1.339204081632653,0.1384,0.7,5.812110324421431,4.799562378851485,-0.036403413201691714
EE,Estonia,Северная Европа,2020,19295.0,344.0,,1.782845296708992,,1-5%,25994.6,14331.0,16246.2,1328889.0,1.25316,0.12635,0.7,25.88628546101292,-1.6775033001615092,1.5036473562470465
EE,Estonia,Северная Европа,2021,22610.0,487.0,240.0,2.1539141972578504,3.215391419725785,1-5%,28242.8,14810.0,17468.6,1330068.0,1.4264897959183673,0.16315,0.6,36.61466932517736,8.648719349403343,0.3710689005488583
EE,Estonia,Северная Европа,2022,20558.0,693.0,391.0,3.3709504815643547,5.272886467555209,1-5%,30146.6,17064.0,19162.1,1331796.0,1.851137254901961,0.2353,0.5,52.03499635079246,6.740833061877716,1.2170362843065043
EE,Estonia,Северная Европа,2023,22986.0,1448.0,555.0,6.299486644044201,8.713999825981032,5-15%,30454.9,15492.0,20022.2,1365884.0,1.7165961538461538,0.22494999999999998,0.7,106.01193073496725,1.0226692230633105,2.9285361624798463
EE,Estonia,Северная Европа,2024,25744.0,1323.0,1269.0,5.139061528899938,10.068365444375388,5-15%,31583.4,16482.0,20763.0,1374687.0,1.6737735849056603,0.2257,0.7,96.2400895622058,3.70547924964455,-1.160425115144263
EL,Greece,Южная Европа,2015,75497.0,32.0,,0.04238579016384757,,до 1%,19131.7,8802.0,14769.7,10818041.0,1.4805714285714286,0.1769,1.5,0.2958021697274026,,
EL,Greece,Южная Европа,2016,78790.0,20.0,,0.025383931971062316,,до 1%,19106.0,9048.0,14785.5,10735415.0,1.39374,0.17195,1.5,0.18629927208216915,-0.13433202485927387,-0.01700185819278525
EL,Greece,Южная Европа,2017,88001.0,37.0,,0.04204497676162771,,до 1%,19700.8,9035.0,15372.2,10707527.0,1.51092,0.16655,1.4,0.34555131170810965,3.1131581702082967,0.016661044790565394
EL,Greece,Южная Европа,2018,103322.0,77.0,,0.07452430266545364,,до 1%,20203.0,9245.0,15833.2,10667336.0,1.5969,0.1659,1.4,0.7218297051859995,2.549135060505159,0.03247932590382593
EL,Greece,Южная Европа,2019,114007.0,188.0,,0.1649021551308253,,до 1%,20765.1,9765.0,16372.1,10635213.0,1.5857142857142859,0.1573,1.4,1.7677125977636743,2.782260060387065,0.09037785246537165
EL,Greece,Южная Европа,2020,79597.0,678.0,,0.8517908966418333,,до 1%,18866.4,10175.0,15474.7,10612591.0,1.4451800000000001,0.16575,0.9,6.388637798253037,-9.143707470708051,0.686888741511008
EL,Greece,Южная Европа,2021,100274.0,2174.0,,2.168059516923629,,1-5%,21245.7,9917.0,16771.9,10555344.0,1.646204081632653,0.1827,0.8,20.596202264938025,12.611308993766702,1.316268620281796
EL,Greece,Южная Европа,2022,105219.0,2826.0,5322.0,2.685826704302455,7.743848544464403,1-5%,24026.4,10841.0,19402.0,10461627.0,2.051176470588235,0.22694999999999999,0.9,27.01300667668614,13.08829551391577,0.5177671873788259
EL,Greece,Южная Европа,2023,134465.0,6377.0,8836.0,4.742498047819135,11.313724761090247,1-5%,26263.1,11389.0,20701.1,10401868.0,1.9020192307692307,0.2318,1.0,61.306296138347456,9.309343055971752,2.0566713435166797
EL,Greece,Южная Европа,2024,136984.0,8708.0,8262.0,6.356946796706184,12.388308123576476,5-15%,27373.2,12436.0,21309.9,10375764.0,1.8548490566037736,0.22644999999999998,0.9,83.9263499054142,4.226842985024626,1.6144487488870496
